study_id,MAT,MAP (mm),_Whole-day,Facility,Facility-1,Experimental duration (month),Other treatments,Expeimental type,Latitude,Plant part-1,Plant part-2,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,Unit,Response ratio,Variance of response ratio,species,PFT-1,PFT-2,PFT-3,PFT-4
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.23,0.33,0.07,0.06,4,4,g,0.35,0.03,Arctous alpinus,seed plant,woody,shrub,deciduous-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.01,0.02,0,0.02,4,4,g/yr,0.43,0.29,Arctous alpinus,seed plant,woody,shrub,deciduous-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,leaf,0.08,0.16,0.05,0.1,6,6,g/yr,0.66,0.14,Empetrum nigrum,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,leaf,0.11,0.19,0.05,0.08,6,6,g/yr,0.52,0.07,Ledum palustre,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,leaf,0.23,0.17,0.09,0.05,6,6,g/yr,-0.32,0.04,Vaccinium uliginosum,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,leaf,0.05,0.05,0.02,0.01,5,5,g/yr,-0.1,0.03,Vaccinium vitis idaea,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.2,0.41,0.13,0.2,6,6,g,0.73,0.11,Empetrum nigrum,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.01,0.04,0.01,0.02,6,6,g/yr,1.08,0.13,Empetrum nigrum,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.26,0.54,0.13,0.22,6,6,g,0.73,0.07,Ledum palustre,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.03,0.06,0.02,0.04,6,6,g/yr,0.77,0.12,Ledum palustre,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.37,0.34,0.21,0.15,6,6,g,-0.08,0.08,Vaccinium uliginosum,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.03,0.04,0.02,0.01,6,6,g/yr,0.02,0.09,Vaccinium uliginosum,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.18,0.22,0.1,0.08,5,5,g,0.16,0.09,Vaccinium vitis idaea,seed plant,woody,shrub,evergreen-shrub
Kudo & Suzuki 2003,2,1300,1.9,OTC,OTC,60,,field,43.55,aboveground,,0.01,0.01,0,0,5,5,g/yr,-0.21,0.06,Vaccinium vitis idaea,seed plant,woody,shrub,evergreen-shrub
Lambrecht et al. 2007,5,750,1.5,IR-heat,Free-air,36,,field,38.96,total,,0.37,0.33,0.01,0.12,15,15,g,-0.11,0.01,Delphinium nuttallianum,seed plant,herbaceous,forb,non-leguminous
Lambrecht et al. 2007,5,750,1.5,IR-heat,Free-air,36,,field,38.96,total,,0.5,0.43,0.01,0.02,15,15,g,-0.15,0,Erigeron speciosus,seed plant,herbaceous,forb,non-leguminous
Lambrecht et al. 2007,5,750,1.5,IR-heat,Free-air,36,,field,38.96,total,,0.13,0.13,0,0,15,15,g,0,0,Erythronium grandiflorum,seed plant,herbaceous,forb,non-leguminous
Lambrecht et al. 2007,5,750,1.5,IR-heat,Free-air,36,,field,38.96,total,,4.04,2.67,1.94,1.28,15,15,g,-0.41,0.03,Hellianthella quinquenervis,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,2.27,2.36,1.16,1.65,16,16,g,0.04,0.05,Salvia chamaedryoides,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,11.69,11.82,4.63,5.45,16,16,g,0.01,0.02,Salvia greggii,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,12.36,12.23,4.13,5.62,16,16,g,-0.01,0.02,Salvia guaranticia,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,10.79,13.64,2.98,3.47,16,16,g,0.23,0.01,Salvia leucantha,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,1.82,2.15,1.16,1.49,16,16,g,0.17,0.06,Salvia neumerosa,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,6.07,5.33,1.32,2.07,16,16,g,-0.13,0.01,Salvia pratensis,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,3.39,3.35,0.99,0.74,16,16,g,-0.01,0.01,Salvia splendens,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,3.68,4.83,0.99,1.65,16,16,g,0.27,0.01,Salvia sylvestris,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,4.41,3.55,2.5,1.98,16,16,g,-0.22,0.04,Salvia greggii,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,2.66,2.27,2.19,1.98,16,16,g,-0.16,0.09,Salvia guaranticia,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,4.15,5.22,1.67,2.35,16,16,g,0.23,0.02,Salvia leucantha,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,1.37,1.06,0.44,0.55,16,16,g,-0.26,0.02,Salvia neumerosa,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,2.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,1.57,1.93,0.16,0.16,16,16,g,0.21,0,Salvia splendens,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,2.27,2.52,1.16,1.32,16,16,g,0.1,0.03,Salvia chamaedryoides,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,11.69,10.87,4.63,4.13,16,16,g,-0.07,0.02,Salvia greggii,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,12.36,12.02,4.13,3.97,16,16,g,-0.03,0.01,Salvia guaranticia,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,10.79,16.4,2.98,3.14,16,16,g,0.42,0.01,Salvia leucantha,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,1.82,2.31,1.16,0.99,16,16,g,0.24,0.04,Salvia neumerosa,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,6.07,7.56,1.32,2.48,16,16,g,0.22,0.01,Salvia pratensis,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,3.39,4.3,0.99,1.9,16,16,g,0.24,0.02,Salvia splendens,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,3.68,5.29,0.99,1.65,16,16,g,0.36,0.01,Salvia sylvestris,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,4.41,3.31,2.5,1.7,16,16,g,-0.29,0.04,Salvia greggii,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,2.66,2.19,2.19,0.81,16,16,g,-0.19,0.05,Salvia guaranticia,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,4.15,5.6,1.67,1.02,16,16,g,0.3,0.01,Salvia leucantha,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,1.37,1.11,0.44,0.44,16,16,g,-0.21,0.02,Salvia neumerosa,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,1.57,1.77,0.16,0.16,16,16,g,0.13,0,Salvia splendens,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,2.27,1.2,1.16,0.99,16,16,g,-0.64,0.06,Salvia chamaedryoides,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,11.69,6.4,4.63,3.8,16,16,g,-0.6,0.03,Salvia greggii,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,12.36,8.93,4.13,3.31,16,16,g,-0.33,0.02,Salvia guaranticia,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,10.79,13.76,2.98,1.98,16,16,g,0.24,0.01,Salvia leucantha,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,1.82,2.85,1.16,0.83,16,16,g,0.45,0.03,Salvia neumerosa,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,6.07,10.87,1.32,2.31,16,16,g,0.58,0.01,Salvia pratensis,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,3.39,1.69,0.99,0.91,16,16,g,-0.69,0.02,Salvia splendens,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,3.68,5.7,0.99,1.74,16,16,g,0.44,0.01,Salvia sylvestris,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,4.41,2.01,2.5,1.25,16,16,g,-0.79,0.04,Salvia greggii,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,2.66,1.83,2.19,0.83,16,16,g,-0.38,0.06,Salvia guaranticia,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,4.15,3.43,1.67,0.83,16,16,g,-0.19,0.01,Salvia leucantha,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,1.37,1.16,0.44,0.44,16,16,g,-0.17,0.02,Salvia neumerosa,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,7.5,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,1.57,1.07,0.16,0.16,16,16,g,-0.38,0,Salvia splendens,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,2.27,0.58,1.16,0.66,16,16,g,-1.37,0.1,Salvia chamaedryoides,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,11.69,3.93,4.63,1.49,16,16,g,-1.09,0.02,Salvia greggii,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,12.36,3.64,4.13,2.15,16,16,g,-1.22,0.03,Salvia guaranticia,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,10.79,5,2.98,3.31,16,16,g,-0.77,0.03,Salvia leucantha,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,1.82,1.4,1.16,0.83,16,16,g,-0.26,0.05,Salvia neumerosa,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,6.07,7.36,1.32,1.9,16,16,g,0.19,0.01,Salvia pratensis,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,aboveground,shoot,3.68,5.62,0.99,1.16,16,16,g,0.42,0.01,Salvia sylvestris,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,4.41,1.38,2.5,0.52,16,16,g,-1.16,0.03,Salvia greggii,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,2.66,0.72,2.19,0.26,16,16,g,-1.31,0.05,Salvia guaranticia,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,4.15,1.34,1.67,0.73,16,16,g,-1.13,0.03,Salvia leucantha,seed plant,herbaceous,forb,non-leguminous
Lasseigne et al. 2007,,,10,Environment-controlled-chamber,Chamber,1,,pot,,belowground,root,1.37,0.8,0.44,0.37,16,16,g,-0.54,0.02,Salvia neumerosa,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.96,0.84,0.34,0.25,3,3,g/plant,-0.13,0.07,Lotus corniculatus,seed plant,herbaceous,forb,leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,2.22,2.01,0.36,0.29,3,3,g/plant,-0.1,0.02,Lotus corniculatus,seed plant,herbaceous,forb,leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,2.25,1.86,0.27,0.31,3,3,g/plant,-0.19,0.01,Lotus corniculatus,seed plant,herbaceous,forb,leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.79,0.38,0.52,0.09,3,3,g/plant,-0.74,0.16,Medicago sativa,seed plant,herbaceous,forb,leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.56,0.48,0.11,0.09,3,3,g/plant,-0.15,0.03,Medicago sativa,seed plant,herbaceous,forb,leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.38,0.4,0.11,0.16,3,3,g/plant,0.07,0.08,Medicago sativa,seed plant,herbaceous,forb,leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.49,1.1,0.31,0.31,3,3,g/plant,-0.3,0.04,Trifolium repens,seed plant,herbaceous,forb,leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.9,0.91,0.38,0.29,3,3,g/plant,0.01,0.1,Trifolium repens,seed plant,herbaceous,forb,leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.94,0.75,0.31,0.29,3,3,g/plant,-0.22,0.09,Trifolium repens,seed plant,herbaceous,forb,leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.09,0.1,0.11,0.13,3,3,g/plant,0.13,1.07,Bellis perennis,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.05,0.04,0.04,0.02,3,3,g/plant,-0.29,0.36,Bellis perennis,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.04,0.03,0.02,0.04,3,3,g/plant,-0.41,1.11,Bellis perennis,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.52,1.32,0.31,0.27,3,3,g/plant,-0.14,0.03,Platago lanceolata,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.3,0.99,0.49,0.18,3,3,g/plant,-0.27,0.06,Platago lanceolata,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.39,1.01,0.38,0.13,3,3,g/plant,-0.32,0.03,Platago lanceolata,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.81,0.74,0.09,0.13,3,3,g/plant,-0.08,0.02,Rumex acetosa,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.96,0.7,0.27,0.13,3,3,g/plant,-0.32,0.04,Rumex acetosa,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.08,0.38,0.27,0.18,3,3,g/plant,-1.05,0.1,Rumex acetosa,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.06,0.96,0.34,0.34,3,3,g/plant,-0.1,0.07,Dactylis glomerata,seed plant,herbaceous,grass,
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,2.03,1.53,0.47,0.45,3,3,g/plant,-0.28,0.05,Dactylis glomerata,seed plant,herbaceous,grass,
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.87,2,0.38,0.29,3,3,g/plant,0.07,0.02,Dactylis glomerata,seed plant,herbaceous,grass,
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.45,1.31,0.13,0.27,3,3,g/plant,-0.1,0.02,Festuca arundinacea,seed plant,herbaceous,grass,
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.03,0.91,0.34,0.29,3,3,g/plant,-0.12,0.07,Festuca arundinacea,seed plant,herbaceous,grass,
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,0.73,0.7,0.18,0.16,3,3,g/plant,-0.04,0.04,Festuca arundinacea,seed plant,herbaceous,grass,
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.27,1.25,0.47,0.45,3,3,g/plant,-0.02,0.09,Lolium perenne,seed plant,herbaceous,grass,
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.4,1.25,0.52,0.38,3,3,g/plant,-0.12,0.08,Lolium perenne,seed plant,herbaceous,grass,
Lemens et al. 2006,,,3.2,Environment-controlled-chamber,Chamber,5,,pot,,aboveground,,1.06,0.62,0.27,0.13,3,3,g/plant,-0.54,0.04,Lolium perenne,seed plant,herbaceous,grass,
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.28,5.06,0.11,0.11,6,6,g/plant,2.89,0.03,Lotus corniculatus,seed plant,herbaceous,forb,leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,1.55,2.91,1.72,2.76,6,6,g/plant,0.63,0.36,Lotus corniculatus,seed plant,herbaceous,forb,leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,1.31,3.33,1.27,2.53,6,6,g/plant,0.93,0.25,Lotus corniculatus,seed plant,herbaceous,forb,leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,5.02,6.42,0.11,0.11,6,6,g/plant,0.25,0,Medicago sativa,seed plant,herbaceous,forb,leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,9.94,6,10.56,7.46,6,6,g/plant,-0.5,0.45,Medicago sativa,seed plant,herbaceous,forb,leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,5.39,9.19,5.05,17.57,6,6,g/plant,0.53,0.76,Medicago sativa,seed plant,herbaceous,forb,leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.8,0.85,1.15,0.51,6,6,g/plant,0.06,0.41,Trifolium repens,seed plant,herbaceous,forb,leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,1.37,0.23,0.11,0.11,6,6,g/plant,-1.76,0.04,Trifolium repens,seed plant,herbaceous,forb,leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,1.03,0.33,0.11,0.11,6,6,g/plant,-1.15,0.02,Trifolium repens,seed plant,herbaceous,forb,leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.28,0.24,0.11,0.11,6,6,g/plant,-0.16,0.07,Bellis perennis,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.27,0.05,0.11,0.11,6,6,g/plant,-1.76,1.03,Bellis perennis,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.38,0.23,0.11,0.11,6,6,g/plant,-0.47,0.06,Bellis perennis,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.56,0.66,0.11,0.11,6,6,g/plant,0.15,0.01,Platago lanceolata,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.33,0.47,0.11,0.8,6,6,g/plant,0.35,0.51,Platago lanceolata,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.38,0.61,0.11,0.92,6,6,g/plant,0.49,0.39,Platago lanceolata,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,18,3.56,0.11,0.11,6,6,g/plant,-1.62,0,Rumex acetosa,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,1.27,0.99,1.84,1.15,6,6,g/plant,-0.25,0.58,Rumex acetosa,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,8.39,4.73,7,7.92,6,6,g/plant,-0.57,0.58,Rumex acetosa,seed plant,herbaceous,forb,non-leguminous
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.52,0.52,0.11,0.11,6,6,g/plant,0,0.02,Dactylis glomerata,seed plant,herbaceous,grass,
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,1.88,2.16,2.07,3.9,6,6,g/plant,0.14,0.75,Dactylis glomerata,seed plant,herbaceous,grass,
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,2.58,1.88,3.1,2.07,6,6,g/plant,-0.32,0.44,Dactylis glomerata,seed plant,herbaceous,grass,
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.52,0.52,0.11,0.11,6,6,g/plant,0,0.02,Festuca arundinacea,seed plant,herbaceous,grass,
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,1.31,2.67,1.27,4.13,6,6,g/plant,0.71,0.55,Festuca arundinacea,seed plant,herbaceous,grass,
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.56,0.75,0.11,0.11,6,6,g/plant,0.29,0.01,Festuca arundinacea,seed plant,herbaceous,grass,
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.14,0.24,0.11,0.11,6,6,g/plant,0.53,0.15,Lolium perenne,seed plant,herbaceous,grass,
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.47,1.08,0.93,1.15,6,6,g/plant,0.83,0.83,Lolium perenne,seed plant,herbaceous,grass,
Lemens et al. 2008,,,2.8,Environment-controlled-chamber,Chamber,18,,pot,,aboveground,,0.28,1.13,0.11,0.11,6,6,g/plant,1.39,0.03,Lolium perenne,seed plant,herbaceous,grass,
Leonardos et al. 2003,,,15,Environment-controlled-chamber,Chamber,0.4,,pot,,aboveground,leaf,77,50,6,4,4,4,g/m2,-0.43,0,Triticum aestivum L. cv. Monopol,seed plant,herbaceous,grass,
Leonardos et al. 2003,,,15,Environment-controlled-chamber,Chamber,0.8,,pot,,aboveground,leaf,117,60,12,4,4,4,g/m2,-0.67,0,Triticum aestivum L. cv. Monopol,seed plant,herbaceous,grass,
Leonardos et al. 2003,,,15,Environment-controlled-chamber,Chamber,0.4,,pot,,total,,0.07,0.09,0.01,0.01,4,4,g/plant,0.26,0,Triticum aestivum L. cv. Monopol,seed plant,herbaceous,grass,
Leonardos et al. 2003,,,15,Environment-controlled-chamber,Chamber,0.8,,pot,,total,,0.21,0.31,0.04,0.04,4,4,g/plant,0.38,0.01,Triticum aestivum L. cv. Monopol,seed plant,herbaceous,grass,
