Species,study_id,style,Control Day T (mean),Control Night T (mean),Control Whole-day T (mean),Increased Day T (mean),Increased Night T (mean),Increased Whole-day T (mean),DDay T,DNight T,DWhole-day T,T Position,Facility,Exposed time,Other Treatment,pot or field,Latitude,Longitude,Elevation(m),mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,Unit
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,6.5126,5.7773,0.0858,0.1286,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,2.9412,2.521,0.2747,0.2747,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,9.4538,12.1849,0.2747,0.3297,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,11.6597,12.0798,0.2747,0.2473,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,11.7647,10.084,0.2747,0.3022,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,7.6681,6.8277,0.3297,0.2747,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,7.0378,5.2521,0.3297,0.3022,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,5.9874,3.5714,0.3297,0.3022,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,2.7311,2.3109,0.3297,0.3022,6,6,μmol m-2 s-1
Helianthus mollis,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,0.9454,0.4202,0.7389,0.7675,6,6,μmol m-2 s-1
Larix laricina,Tjoelker 1998,day/night,18,12,*,30,24,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,4.2308,4.2857,0.7389,0.6246,4,4,μmol m-2 s-1
Larix laricina,Tjoelker 1998,day/night,18,12,*,27,21,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,4.2308,5.7692,0.1946,0.9731,4,4,μmol m-2 s-1
Larix laricina,Tjoelker 1998,day/night,18,12,*,24,18,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,4.2308,4.1209,0.8433,0.6487,4,4,μmol m-2 s-1
Larix laricina,Tjoelker 1998,day/night,18,12,*,21,15,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,4.2308,5.5495,4.3463,3.5679,4,4,μmol m-2 s-1
Larix laricina,Tjoelker 1998,day/night,18,12,*,30,24,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,5.7143,5.6044,0.3544,0.1081,4,4,μmol m-2 s-1
Larix laricina,Tjoelker 1998,day/night,18,12,*,27,21,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,5.7143,8.022,0.2282,0.0961,4,4,μmol m-2 s-1
Larix laricina,Tjoelker 1998,day/night,18,12,*,24,18,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,5.7143,5.2198,0.1441,0.024,4,4,μmol m-2 s-1
Larix laricina,Tjoelker 1998,day/night,18,12,*,21,15,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,5.7143,7.4725,0.2314,1.0027,4,4,μmol m-2 s-1
Liquidambar styraciflua,Gunderson 2010,day/night,*,*,14.7,16.6,*,*,*,*,1.9,air,open top chamber,*,*,field,35°54′N,84°20′W,230,8.63,9.33,1.3112,1.6197,6,6,μmol m-2 s-1
Liquidambar styraciflua,Gunderson 2010,day/night,*,*,14.7,18.2,*,*,*,*,3.5,air,open top chamber,*,*,field,35°54′N,84°20′W,230,8.63,8.7,0.8484,2.3909,6,6,μmol m-2 s-1
Lolium perenne,Gielen 2007,day/night,*,*,9.6,*,*,*,*,*,3,air,climate-control chamber,2years,*,pot,51°09′,04°24′E,*,7.9775,10.1124,1.7739,2.9308,3,3,μmol m-2 s-1
Lotus corniculatus,Gielen 2007,day/night,*,*,9.6,*,*,*,*,*,3,air,climate-control chamber,2years,*,pot,51°09′,04°24′E,*,11.236,8.427,0.5399,2.6223,3,3,μmol m-2 s-1
Medicago sativa,Gielen 2007,day/night,*,*,9.6,*,*,*,*,*,3,air,climate-control chamber,2years,*,pot,51°09′,04°24′E,*,18.2022,21.573,1.0027,1.6197,3,3,μmol m-2 s-1
Panax quinquefolius,Jochum 2007,day/night,26.8,21.2,*,31.2,26.6,*,4.4,5.4,*,air,greenhouse,31days,*,pot,*,*,*,2.5225,2.3544,0.3856,0.6941,4,4,μmol m-2 s-1
Panax quinquefolius,Jochum 2007,day/night,26.8,21.2,*,31.2,26.6,*,4.4,5.4,*,air,greenhouse,61days,*,pot,*,*,*,2.4745,0.3483,0.5399,1.3112,4,4,μmol m-2 s-1
Panax quinquefolius,Jochum 2007,day/night,26.8,21.2,*,31.2,26.6,*,4.4,5.4,*,air,greenhouse,92days,*,pot,*,*,*,0.9249,0.1201,0.9255,1.3112,4,4,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,11.355,14.8282,2.3909,0.9255,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,13.8931,19.1031,1.234,0.617,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,17.3664,22.4427,2.0824,0.9255,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,19.1031,23.3779,0.2314,1.3883,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,20.4389,22.5763,1.234,0.617,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,15.3626,19.2366,1.2395,1.5005,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,7.7481,7.2137,1.1743,0.5871,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,3.2061,6.6794,0.8481,0.5219,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,12.8244,19.3702,2.0876,1.9571,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,21.374,24.5802,2.1528,2.1528,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,19.6374,24.8473,0.1957,0.1957,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,15.7634,21.9084,0.4567,0.3262,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,16.1641,18.5687,0.0179,0.0179,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,7.8817,10.8206,0.3757,0.2147,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,25.6497,20.452,0.1286,0.0964,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,18.4181,22.3729,0.1607,0.3214,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,24.6328,29.0395,0.1286,0.1286,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,16.7232,23.7288,0.225,0.1607,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,23.5028,29.1525,0.1286,0.1928,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,25.8757,28.1356,0.225,0.225,3,3,μmol m-2 s-1
Pennisetum centrasiaticum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,10.1695,11.8644,0.1286,0.1286,3,3,μmol m-2 s-1
Pentaphylloides floribunda,Shaw 2000,day/night,*,*,21.7,*,*,21.3,*,*,-0.4,leaf,infrared radiation,3years,*,field,38°53′N,107°02′W,2920,0.2,0.16,0.1607,0.0964,5,5,μmol m-2 s-1
Pentaphylloides floribunda,Shaw 2000,day/night,*,*,25.8,*,*,25.5,*,*,-0.3,leaf,infrared radiation,3years,*,field,38°53′N,107°02′W,2920,3.4,1.52,0.2999,0.12,5,5,μmol m-2 s-1
Phytolacca americana,He 2005,day/night,26,20,*,30,24,*,4,4,*,air,glasshouse facility,119days,*,pot,*,*,*,3.2727,3.8182,0.5199,0.3799,8,8,μmol m-2 s-1
Phytolacca americana,He 2005,day/night,26,20,*,30,24,*,4,4,*,air,glasshouse facility,91days,*,pot,*,*,*,9.2727,11.6364,0.16,0.18,8,8,μmol m-2 s-1
Phytolacca americana,He 2005,day/night,26,20,*,30,24,*,4,4,*,air,glasshouse facility,119days,CO2,pot,*,*,*,3.6364,4.2727,0.2599,0.2999,8,8,μmol m-2 s-1
Phytolacca americana,He 2005,day/night,26,20,*,30,24,*,4,4,*,air,glasshouse facility,91days,CO2,pot,*,*,*,14.7273,13.7273,0.3799,0.3599,8,8,μmol m-2 s-1
Phytolacca americana,He 2005,day/night,26,20,*,28,24,*,2,4,*,air,glasshouse facility,119days,CO2+daily temperature regime,pot,*,*,*,3.6364,6.7273,0.2999,0.22,8,8,μmol m-2 s-1
Phytolacca americana,He 2005,day/night,26,20,*,28,24,*,2,4,*,air,glasshouse facility,91days,CO2+daily temperature regime,pot,*,*,*,14.7273,13.1818,0.24,0.3399,8,8,μmol m-2 s-1
Phytolacca americana,He 2005,day/night,26,20,*,28,24,*,2,4,*,air,glasshouse facility,119days,daily temperature regime,pot,*,*,*,3.2727,3,0.6199,0.4399,8,8,μmol m-2 s-1
Phytolacca americana,He 2005,day/night,26,20,*,28,24,*,2,4,*,air,glasshouse facility,91days,daily temperature regime,pot,*,*,*,9.2727,9,0.3399,0.12,8,8,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,10days,irrigation ,field,64°07′N,19°27′E,310,1.3714,0.9306,0.22,0.16,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,20days,irrigation ,field,64°07′N,19°27′E,310,1.8122,1.5184,0.14,0.1,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,30days,irrigation ,field,64°07′N,19°27′E,310,0.6367,0.8327,0.2975,0.4363,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,35days,irrigation ,field,64°07′N,19°27′E,310,1.0286,2.498,0.2975,0.3372,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,45days,irrigation ,field,64°07′N,19°27′E,310,1.5673,2.6939,0.3967,0.2975,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,50days,irrigation ,field,64°07′N,19°27′E,310,1.8122,2.9388,0.357,0.2975,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,55days,irrigation ,field,64°07′N,19°27′E,310,4.9469,6.5143,0.4165,0.4165,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,65days,irrigation ,field,64°07′N,19°27′E,310,8.0327,9.9918,0.476,0.3768,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,70days,irrigation ,field,64°07′N,19°27′E,310,8.5714,9.0612,0.238,0.2975,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,80days,irrigation ,field,64°07′N,19°27′E,310,7.9837,8.0816,0.476,0.4165,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,85days,irrigation ,field,64°07′N,19°27′E,310,8.5224,8.9633,0.4363,0.4363,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,10days,irrigation+fertilization,field,64°07′N,19°27′E,310,1.0202,1.9433,0.1785,0.3173,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,20days,irrigation+fertilization,field,64°07′N,19°27′E,310,3.8866,4.5182,0.3372,0.357,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,30days,irrigation+fertilization,field,64°07′N,19°27′E,310,1.7004,2.7692,0.0316,0.0506,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,35days,irrigation+fertilization,field,64°07′N,19°27′E,310,2.5263,5.3927,0.1299,0.0577,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,45days,irrigation+fertilization,field,64°07′N,19°27′E,310,1.3117,3.8381,0.0727,0.1486,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,50days,irrigation+fertilization,field,64°07′N,19°27′E,310,3.4008,5.1498,0.0577,0.0433,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,55days,irrigation+fertilization,field,64°07′N,19°27′E,310,7.1903,8.0162,1.4139,1.3264,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,65days,irrigation+fertilization,field,64°07′N,19°27′E,310,10.7368,10.1538,1.4139,1.4226,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,70days,irrigation+fertilization,field,64°07′N,19°27′E,310,10.3968,9.9595,1.3176,1.3789,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,80days,irrigation+fertilization,field,64°07′N,19°27′E,310,9.668,10.0567,1.3176,1.2826,6,6,μmol m-2 s-1
Picea abies,Bergh 1999,day/night,*,*,6.87,*,*,*,*,*,5,first centimetre of the mineral soil,buried heating cable,85days,irrigation+fertilization,field,64°07′N,19°27′E,310,11.1741,10.5911,0.3005,0.2186,6,6,μmol m-2 s-1
Picea asperata,Yin 2008,day/night,*,*,11.52,*,*,*,*,*,0.51,air,open-top chamber,18 months,*,field,31°35′N,102°35′E,3110,1.09,1.26,0.3005,0.2459,10,10,μmol m-2 s-1
Picea asperata,Han 2009,day/night,*,*,16.65,*,*,18.33,*,*,1.68,air,open-top chamber,3 months,*,field,31°35′N,102°35′E,3000,4.596,5.9394,0.3005,0.2186,6,6,μmol m-2 s-1
Picea asperata,Yin 2008,day/night,*,*,10.92,*,*,*,*,*,0.69,air,open-top chamber,18 months,light,field,31°35′N,102°35′E,3110,4.28,5.05,0.3005,0.2732,10,10,μmol m-2 s-1
Picea asperata,Han 2009,day/night,*,*,16.73,*,*,18.52,*,*,1.79,air,open-top chamber,3 months,UV-B,field,31°35′N,102°35′E,3000,3.9242,4.4545,0.2459,0.2186,6,6,μmol m-2 s-1
Picea glauca,Danby 2007,day/night,*,*,8.17,*,*,*,*,*,1.8,air,open-top chamber,4years,*,field,61.19°N,138.36°W,1250-1350,4.0185,6.8889,0.2459,0.2459,7,7,μmol m-2 s-1
Picea glauca,Danby 2007,day/night,*,*,8.17,*,*,*,*,*,1.8,air,open-top chamber,4years,*,field,61.19°N,138.36°W,1250-1350,4.0185,6.4028,0.2459,0.2186,7,7,μmol m-2 s-1
Picea glauca,Danby 2007,day/night,*,*,8.17,*,*,*,*,*,1.8,air,open-top chamber,4years,*,field,61.19°N,138.36°W,1250-1350,4.8519,5.5694,0.2459,0.2459,7,7,μmol m-2 s-1
Picea glauca,Danby 2007,day/night,*,*,8.17,*,*,*,*,*,1.8,air,open-top chamber,4years,*,field,61.19°N,138.36°W,1250-1350,4.8519,6.2639,0.4274,0.4826,7,7,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,soil,heating cable,1years,*,field,55°53′N,98°20′W,*,1.9,1.7,0.4274,0.3309,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,soil,heating cable,1years,*,field,55°53′N,98°20′W,*,2.2,2.3,0.4274,0.4688,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,soil,heating cable,1years,*,field,55°53′N,98°20′W,*,2.9,2.8,0.4274,0.5239,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,air and soil,greenhouse and heating cable,1years,*,field,55°53′N,98°20′W,*,1.5,1.7,0.4274,0.4136,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,air and soil,greenhouse and heating cable,1years,*,field,55°53′N,98°20′W,*,2,2.5,0.0439,0.0293,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,air and soil,greenhouse and heating cable,1years,*,field,55°53′N,98°20′W,*,2.5,3,0.0585,0.061,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,soil,heating cable,2years,*,field,55°53′N,98°20′W,*,2,1.6,0.0366,0.0463,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,soil,heating cable,2years,*,field,55°53′N,98°20′W,*,2.6,2.4,0.0659,0.0439,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,soil,heating cable,2years,*,field,55°53′N,98°20′W,*,2.7,2.5,0.0439,0.0366,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,air and soil,greenhouse and heating cable,2years,*,field,55°53′N,98°20′W,*,2,2.1,0.0585,0.0342,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,air and soil,greenhouse and heating cable,2years,*,field,55°53′N,98°20′W,*,2.6,2.5,0.0366,0.0707,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,air and soil,greenhouse and heating cable,2years,*,field,55°53′N,98°20′W,*,2.7,2.4,0.0659,0.0415,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,soil,heating cable,3years,*,field,55°53′N,98°20′W,*,2.3,2.1,0.0439,0.0244,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,soil,heating cable,3years,*,field,55°53′N,98°20′W,*,2.6,2.9,0.0585,0.0488,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,air and soil,greenhouse and heating cable,3years,*,field,55°53′N,98°20′W,*,2.3,2.4,0.0366,0.0317,4,4,μmol m-2 s-1
Picea mariana,Bronson 2010,day/night,*,*,*,*,*,*,*,*,5,air and soil,greenhouse and heating cable,3years,*,field,55°53′N,98°20′W,*,2.6,2.5,0.0659,0.0707,4,4,μmol m-2 s-1
Picea mariana,Tjoelker 1998,day/night,18,12,*,30,24,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,3.4426,3.0055,0.3786,0.2839,4,4,μmol m-2 s-1
Picea mariana,Tjoelker 1998,day/night,18,12,*,27,21,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,3.4426,4.3169,0.3786,0.3155,4,4,μmol m-2 s-1
Picea mariana,Tjoelker 1998,day/night,18,12,*,24,18,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,3.4426,3.7158,0.3786,0.2839,4,4,μmol m-2 s-1
Picea mariana,Tjoelker 1998,day/night,18,12,*,21,15,*,3,3,*,air,growth chamber,91days,*,pot,*,*,*,3.4426,4.153,0.3786,0.3155,4,4,μmol m-2 s-1
Picea mariana,Tjoelker 1998,day/night,18,12,*,30,24,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,5.5738,2.7322,0.3155,0.347,4,4,μmol m-2 s-1
Picea mariana,Tjoelker 1998,day/night,18,12,*,27,21,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,5.5738,6.5574,0.3155,0.347,4,4,μmol m-2 s-1
Picea mariana,Tjoelker 1998,day/night,18,12,*,24,18,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,5.5738,4.7541,0.3155,0.3786,4,4,μmol m-2 s-1
Picea mariana,Tjoelker 1998,day/night,18,12,*,21,15,*,3,3,*,air,growth chamber,91days,CO2,pot,*,*,*,5.5738,5.4645,0.3155,0.347,4,4,μmol m-2 s-1
Picea rubens,Day 2000,day/night,16,9,*,20,13,*,4,4,*,air,experimental chamber,18 days,*,pot,*,*,*,5.7552,6.4239,0.48,1.2,3,3,μmol m-2 s-1
Picea rubens,Day 2000,day/night,16,9,*,24,17,*,8,8,*,air,experimental chamber,18 days,*,pot,*,*,*,5.7552,5.8507,0.0533,0.16,3,3,μmol m-2 s-1
Picea rubens,Day 2000,day/night,16,9,*,28,21,*,12,12,*,air,experimental chamber,18 days,*,pot,*,*,*,5.7552,5.8746,0.0267,0.1067,3,3,μmol m-2 s-1
Picea rubens,Day 2000,day/night,16,9,*,32,25,*,16,16,*,air,experimental chamber,18 days,*,pot,*,*,*,5.7552,5.8985,0.2133,0.2459,3,3,μmol m-2 s-1
Picea rubens,Day 2000,day/night,16,9,*,36,29,*,20,20,*,air,experimental chamber,18 days,*,pot,*,*,*,5.7552,1.9343,0.16,0.2133,3,3,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,20,*,*,5,air,chamber,1days,PPFD,pot,*,*,*,1.2218,1.2218,0.16,0.16,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,20,*,*,5,air,chamber,1days,PPFD,pot,*,*,*,2.4327,2.6073,0.08,0.32,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,20,*,*,5,air,chamber,1days,PPFD,pot,*,*,*,2.1709,2.5418,0.16,0.08,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,20,*,*,5,air,chamber,1days,PPFD,pot,*,*,*,2.7164,2.6618,0.5367,0.5814,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,25,*,*,10,air,chamber,1days,PPFD,pot,*,*,*,1.2218,1.0582,0.3801,0.4919,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,25,*,*,10,air,chamber,1days,PPFD,pot,*,*,*,2.4327,1.6473,0.0573,0.086,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,25,*,*,10,air,chamber,1days,PPFD,pot,*,*,*,2.1709,2.1164,0.0382,0.0573,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,25,*,*,10,air,chamber,1days,PPFD,pot,*,*,*,2.7164,2.5309,0.0287,0.0669,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,30,*,*,15,air,chamber,1days,PPFD,pot,*,*,*,1.2218,0.4473,0.0287,0.0382,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,30,*,*,15,air,chamber,1days,PPFD,pot,*,*,*,2.4327,1.0909,0.0669,0.0669,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,30,*,*,15,air,chamber,1days,PPFD,pot,*,*,*,2.1709,1.2109,0.0573,0.0287,20,20,μmol m-2 s-1
Picea rubens,Alexander 1995,day/night,*,*,15,*,*,30,*,*,15,air,chamber,1days,PPFD,pot,*,*,*,2.7164,1.4182,0.0478,0.0287,20,20,μmol m-2 s-1
